Zone,State,Scheme,Month,Visited Accounts,Allocated Accounts,Visit %,Outstanding Amount (Cr),Principal Outstanding (Cr),EMI Amount (Cr),Resolved Accounts
Pune Zone,Delhi,UKKGL,2023-01,131,261,50.19,81.18,61.38,1.23,84
West,Odisha,UMGLP,2023-02,271,629,43.08,3.27,1.79,0.04,213
Hyderabad,Punjab,LADEP,2023-04,67,396,16.92,68.33,45.77,0.92,51
West,West Bengal,TLU03,2023-11,319,419,76.13,58.67,29.72,0.59,232
South,Unknown,CCGEN,2023-10,461,825,55.88,21.3,12.78,0.26,76
Hyderabad,Punjab,UKKGL,2023-03,310,807,38.41,4.59,4.01,0.08,0
Central,Jharkhand,TLU03,2023-09,149,307,48.53,87.24,53.58,1.07,7
North,West Bengal,TLP12,2023-12,207,705,29.36,59.15,58.96,1.18,192
MMZO Zone,Jharkhand,CHOME,2023-03,297,457,64.99,15.61,8.53,0.17,140
MMZO Zone,Punjab,UMGLP,2023-11,309,654,47.25,40.51,37.24,0.74,85
North,Rajasthan,CCSUV,2023-10,263,469,56.08,12.17,12.12,0.24,22
MMZO Zone,Jharkhand,UKKGL,2023-05,488,988,49.39,84.27,67.98,1.36,309
North,Haryana,CCSUV,2023-06,392,414,94.69,83.55,69.75,1.4,323
MMZO Zone,Haryana,TLP12,2023-04,78,563,13.85,14.28,14.07,0.28,49
MMZO Zone,West Bengal,CCGEN,2023-12,78,569,13.71,20.36,16.54,0.33,51
West,Rajasthan,VL001,2023-08,136,501,27.15,83.32,49.33,0.99,133
South,Bihar,CCGEN,2023-07,300,333,90.09,97.74,83.64,1.67,237
West,Odisha,UKKGL,2023-10,263,374,70.32,8.95,5.24,0.1,153
South,Rajasthan,CHOME,2023-08,304,717,42.4,61.75,31.05,0.62,12
West,Haryana,UMGLP,2023-10,194,378,51.32,19.6,18.64,0.37,20
Pune Zone,Punjab,CCMUD,2023-06,59,483,12.22,32.77,27.24,0.54,8
East,Bihar,CCMUD,2023-05,214,701,30.53,32.32,25.03,0.5,101
East,Bihar,TLP12,2023-05,464,662,70.09,74.09,67.71,1.35,10
Hyderabad,Rajasthan,UMGLP,2023-12,161,281,57.3,5.82,3.72,0.07,70
West,Haryana,UMGLP,2023-07,427,773,55.24,51.07,31.02,0.62,87
South,Jharkhand,CCMUD,2023-10,421,592,71.11,82.39,73.77,1.48,212
Hyderabad,West Bengal,TLU03,2023-09,322,521,61.8,35.86,19.95,0.4,67
Central,Odisha,ODGEN,2023-09,463,907,51.05,27.91,21.8,0.44,202
Central,Odisha,CCMUD,2023-06,347,549,63.21,69.89,54.97,1.1,204
Hyderabad,Haryana,ODGEN,2023-12,309,329,93.92,76.6,75.94,1.52,92
Central,Delhi,VL001,2023-11,93,129,72.09,9.36,5.63,0.11,10
North,Bihar,UMGLP,2023-05,253,516,49.03,23.03,18.33,0.37,0
North,Bihar,LADEP,2023-07,113,215,52.56,24.49,18.93,0.38,65
Pune Zone,West Bengal,UKKGL,2023-02,165,482,34.23,13.45,13.12,0.26,101
Pune Zone,Punjab,CCSUV,2023-05,484,802,60.35,94.78,81.18,1.62,284
East,West Bengal,UKKGL,2023-10,416,523,79.54,6.12,4.39,0.09,51
North,Punjab,TLP12,2023-04,120,460,26.09,56.15,50.5,1.01,40
North,West Bengal,CCMUD,2023-02,225,612,36.76,33.96,24.84,0.5,56
Hyderabad,Bihar,TL009,2023-07,143,143,100.0,86.86,81.0,1.62,83
East,Punjab,CCMUD,2023-12,477,647,73.72,17.05,9.54,0.19,317
South,Bihar,UMGLP,2023-07,440,844,52.13,37.22,20.45,0.41,329
MMZO Zone,Haryana,LADEP,2023-08,323,328,98.48,80.24,55.01,1.1,306
North,Bihar,CCSUV,2023-08,17,309,5.5,11.45,10.13,0.2,6
Hyderabad,Unknown,CCMUD,2023-05,423,759,55.73,96.53,55.59,1.11,235
West,Jharkhand,CCSUV,2023-09,35,346,10.12,46.23,23.58,0.47,6
MMZO Zone,Punjab,CHOME,2023-04,254,556,45.68,76.84,67.14,1.34,202
MMZO Zone,Bihar,LADEP,2023-09,314,533,58.91,70.83,53.32,1.07,199
West,Delhi,VL001,2023-01,101,577,17.5,88.41,48.0,0.96,56
MMZO Zone,Rajasthan,UMGLP,2023-02,178,343,51.9,20.5,11.27,0.23,4
South,Bihar,TLU03,2023-11,419,737,56.85,53.57,46.33,0.93,89
Central,Jharkhand,UKKGL,2023-12,454,527,86.15,90.78,57.35,1.15,30
Central,Jharkhand,ODGEN,2023-01,479,771,62.13,1.14,0.82,0.02,355
MMZO Zone,Haryana,CCGEN,2023-05,258,636,40.57,95.77,90.12,1.8,185
Pune Zone,Rajasthan,CCGEN,2023-10,103,243,42.39,79.54,42.22,0.84,79
East,Odisha,CHOME,2023-07,256,539,47.5,64.38,43.81,0.88,87
Central,Delhi,CCGEN,2023-12,212,667,31.78,52.04,30.49,0.61,102
Pune Zone,Bihar,CCSUV,2023-02,304,468,64.96,95.32,54.92,1.1,43
West,Haryana,ODGEN,2023-07,442,597,74.04,75.77,60.02,1.2,292
North,Jharkhand,UMGLP,2023-02,123,449,27.39,52.51,35.61,0.71,69
East,Delhi,CCSUV,2023-05,252,456,55.26,31.4,24.82,0.5,223
Hyderabad,West Bengal,VL001,2023-04,85,584,14.55,65.54,42.02,0.84,23
East,Odisha,CCMUD,2023-10,175,360,48.61,58.16,51.77,1.04,55
Central,Unknown,CCMUD,2023-04,496,533,93.06,47.58,45.68,0.91,407
Central,Punjab,UKKGL,2023-04,40,191,20.94,44.31,39.46,0.79,37
West,Haryana,TLU03,2023-03,435,464,93.75,98.31,98.07,1.96,7
South,Haryana,ODGEN,2023-06,441,867,50.87,76.92,65.09,1.3,55
North,Delhi,UKKGL,2023-07,213,401,53.12,58.72,57.07,1.14,213
MMZO Zone,Odisha,LADEP,2023-07,170,274,62.04,97.49,96.15,1.92,33
South,Haryana,TL009,2023-08,109,524,20.8,69.3,45.67,0.91,38
West,Odisha,TLU03,2023-12,422,478,88.28,27.46,14.52,0.29,228
MMZO Zone,Bihar,CCSUV,2023-09,60,341,17.6,9.55,9.08,0.18,22
Pune Zone,Delhi,TLP12,2023-12,281,761,36.93,76.99,40.86,0.82,83
North,Rajasthan,TL009,2023-11,55,282,19.5,32.59,30.42,0.61,21
North,Bihar,LADEP,2023-10,414,576,71.88,71.02,46.66,0.93,340
East,Punjab,CHOME,2023-05,48,183,26.23,20.0,13.22,0.26,37
Central,Punjab,UMGLP,2023-10,179,438,40.87,36.13,32.77,0.66,172
Pune Zone,Odisha,TLU03,2023-01,286,630,45.4,19.06,13.43,0.27,109
Central,Rajasthan,TL009,2023-03,128,550,23.27,97.31,93.03,1.86,36
South,Jharkhand,TLU03,2023-04,189,521,36.28,67.72,58.82,1.18,167
Central,Bihar,TLU03,2023-06,353,781,45.2,97.4,61.62,1.23,282
Hyderabad,Jharkhand,ODGEN,2023-05,406,586,69.28,50.31,48.38,0.97,350
MMZO Zone,Jharkhand,VL001,2023-10,429,661,64.9,86.52,80.62,1.61,161
Hyderabad,Rajasthan,TL009,2023-07,498,700,71.14,49.86,30.91,0.62,390
East,Jharkhand,VL001,2023-08,360,452,79.65,31.01,16.46,0.33,138
West,Rajasthan,CHOME,2023-03,293,342,85.67,38.67,22.2,0.44,32
Pune Zone,Unknown,UMGLP,2023-02,64,297,21.55,1.2,1.03,0.02,28
West,Bihar,VL001,2023-08,375,850,44.12,54.89,32.83,0.66,99
Hyderabad,Rajasthan,CHOME,2023-05,364,460,79.13,61.68,52.59,1.05,349
MMZO Zone,Haryana,TL009,2023-10,148,507,29.19,18.15,13.51,0.27,0
North,Unknown,ODGEN,2023-09,186,304,61.18,45.82,26.35,0.53,165
Central,Punjab,VL001,2023-02,92,418,22.01,29.92,21.34,0.43,78
East,Rajasthan,CCSUV,2023-06,98,237,41.35,41.94,22.85,0.46,63
Hyderabad,Unknown,CCSUV,2023-01,337,527,63.95,14.91,13.06,0.26,52
Central,Bihar,UMGLP,2023-07,24,468,5.13,7.76,4.87,0.1,8
MMZO Zone,Haryana,TL009,2023-01,307,801,38.33,62.83,33.84,0.68,54
Pune Zone,West Bengal,CCGEN,2023-09,422,831,50.78,84.86,72.12,1.44,132
West,Bihar,CHOME,2023-12,152,576,26.39,60.69,32.09,0.64,1
South,Unknown,CCGEN,2023-06,56,401,13.97,52.3,46.37,0.93,40
North,Punjab,ODGEN,2023-05,79,372,21.24,13.35,10.79,0.22,49
Pune Zone,Rajasthan,TL009,2023-06,55,151,36.42,66.6,58.05,1.16,0
MMZO Zone,Punjab,UMGLP,2023-02,5,366,1.37,56.83,46.98,0.94,4
Central,Rajasthan,LADEP,2023-10,384,773,49.68,3.18,2.43,0.05,57
Central,Rajasthan,VL001,2023-02,223,564,39.54,41.26,40.94,0.82,67
Hyderabad,Rajasthan,UKKGL,2023-10,134,277,48.38,42.06,23.4,0.47,27
Pune Zone,West Bengal,UMGLP,2023-10,64,200,32.0,56.37,36.9,0.74,12
MMZO Zone,Delhi,CHOME,2023-05,163,321,50.78,29.56,19.3,0.39,65
Pune Zone,Unknown,TLP12,2023-12,396,798,49.62,23.91,21.87,0.44,353
MMZO Zone,Punjab,TLU03,2023-08,295,751,39.28,73.82,46.0,0.92,94
MMZO Zone,Delhi,LADEP,2023-09,43,431,9.98,22.48,18.2,0.36,30
Pune Zone,West Bengal,VL001,2023-03,301,429,70.16,61.0,31.4,0.63,166
Central,Bihar,CCGEN,2023-09,313,684,45.76,45.86,44.47,0.89,213
North,Punjab,LADEP,2023-10,77,280,27.5,68.7,66.47,1.33,55
East,Unknown,CCMUD,2023-02,253,338,74.85,46.2,39.48,0.79,217
South,Jharkhand,VL001,2023-11,363,689,52.69,22.65,18.51,0.37,299
West,West Bengal,UKKGL,2023-03,119,395,30.13,48.3,42.96,0.86,16
South,Rajasthan,UMGLP,2023-09,54,374,14.44,26.57,22.83,0.46,16
West,Punjab,UKKGL,2023-03,498,918,54.25,68.18,37.75,0.76,227
South,Unknown,VL001,2023-01,258,645,40.0,3.11,2.72,0.05,150
North,Bihar,TLU03,2023-03,435,903,48.17,27.16,23.47,0.47,344
MMZO Zone,Rajasthan,UMGLP,2023-02,189,202,93.56,96.55,83.75,1.68,132
Hyderabad,Delhi,UMGLP,2023-07,437,618,70.71,17.01,9.62,0.19,216
West,Punjab,CCGEN,2023-08,459,682,67.3,25.87,24.86,0.5,152
MMZO Zone,Jharkhand,VL001,2023-09,26,158,16.46,90.07,61.05,1.22,21
Hyderabad,Haryana,VL001,2023-07,370,618,59.87,79.1,66.77,1.34,202
South,Unknown,TLP12,2023-04,368,679,54.2,85.31,45.36,0.91,253
Central,Odisha,ODGEN,2023-08,175,636,27.52,16.75,14.19,0.28,174
MMZO Zone,Odisha,VL001,2023-03,108,448,24.11,43.86,31.84,0.64,3
North,Delhi,CCMUD,2023-06,246,542,45.39,74.96,73.37,1.47,231
North,Odisha,TL009,2023-02,491,745,65.91,31.14,18.06,0.36,335
East,Bihar,TLP12,2023-09,200,582,34.36,45.44,44.95,0.9,180
Central,Delhi,UMGLP,2023-07,437,899,48.61,28.29,24.18,0.48,27
Hyderabad,Delhi,CCGEN,2023-09,12,40,30.0,87.53,59.74,1.19,4
Hyderabad,Punjab,TLU03,2023-11,51,352,14.49,4.43,2.33,0.05,46
North,Rajasthan,CCMUD,2023-01,251,693,36.22,58.39,38.89,0.78,25
Hyderabad,Bihar,TLU03,2023-03,471,571,82.49,9.18,9.06,0.18,436
South,Odisha,TLU03,2023-02,58,488,11.89,45.22,27.29,0.55,30
Hyderabad,Haryana,CCSUV,2023-12,87,432,20.14,34.32,20.04,0.4,20
MMZO Zone,Haryana,CHOME,2023-02,298,756,39.42,29.42,17.16,0.34,40
North,Punjab,TL009,2023-08,249,406,61.33,21.17,10.63,0.21,227
MMZO Zone,Unknown,TLP12,2023-05,72,249,28.92,48.42,31.43,0.63,20
East,West Bengal,TLU03,2023-06,18,438,4.11,18.67,14.85,0.3,6
Hyderabad,Jharkhand,TLU03,2023-05,88,565,15.58,86.59,43.63,0.87,41
Hyderabad,Jharkhand,CCMUD,2023-10,198,276,71.74,91.56,90.45,1.81,123
South,Delhi,TLP12,2023-03,129,214,60.28,67.08,49.26,0.99,75
Hyderabad,Unknown,UKKGL,2023-02,204,353,57.79,19.79,15.74,0.31,9
Hyderabad,Bihar,CCGEN,2023-01,287,470,61.06,86.36,63.4,1.27,195
North,Punjab,UMGLP,2023-11,456,541,84.29,73.73,69.51,1.39,441
North,Delhi,TL009,2023-09,453,818,55.38,57.62,39.36,0.79,225
MMZO Zone,Jharkhand,LADEP,2023-08,195,205,95.12,87.02,74.63,1.49,126
Pune Zone,Bihar,TLP12,2023-12,457,795,57.48,54.11,39.64,0.79,72
North,Rajasthan,CCGEN,2023-12,350,524,66.79,64.84,33.67,0.67,222
North,Bihar,CCGEN,2023-11,422,891,47.36,89.11,63.63,1.27,154
Pune Zone,Bihar,CHOME,2023-06,139,623,22.31,52.89,34.33,0.69,74
MMZO Zone,Punjab,CHOME,2023-11,252,348,72.41,47.32,24.28,0.49,175
West,Unknown,UMGLP,2023-05,132,612,21.57,9.53,6.84,0.14,84
West,Haryana,ODGEN,2023-11,406,855,47.49,69.73,67.85,1.36,70
South,Punjab,TLP12,2023-01,196,301,65.12,13.99,9.84,0.2,7
Central,Haryana,CCSUV,2023-09,422,879,48.01,18.83,15.79,0.32,21
East,Rajasthan,TL009,2023-01,466,791,58.91,31.08,22.64,0.45,401
Pune Zone,Rajasthan,TL009,2023-07,74,571,12.96,18.53,15.53,0.31,30
Pune Zone,Delhi,UMGLP,2023-12,153,443,34.54,83.18,55.91,1.12,9
North,Rajasthan,VL001,2023-03,327,664,49.25,92.27,46.82,0.94,307
North,West Bengal,TLU03,2023-12,43,420,10.24,65.8,36.75,0.73,28
Hyderabad,Haryana,CCGEN,2023-08,346,763,45.35,38.6,24.3,0.49,295
South,Bihar,CHOME,2023-02,5,298,1.68,61.06,51.29,1.03,4
East,Bihar,VL001,2023-07,484,629,76.95,21.81,19.71,0.39,439
South,Odisha,VL001,2023-08,66,128,51.56,85.4,68.22,1.36,35
East,Odisha,UKKGL,2023-05,48,410,11.71,67.52,41.03,0.82,32
Pune Zone,Delhi,CCMUD,2023-12,284,372,76.34,73.01,50.9,1.02,159
West,Delhi,CCMUD,2023-08,128,281,45.55,86.01,50.9,1.02,114
North,Rajasthan,ODGEN,2023-02,73,73,100.0,90.06,88.58,1.77,71
MMZO Zone,Unknown,CCSUV,2023-11,220,455,48.35,96.65,91.51,1.83,209
South,Jharkhand,CCSUV,2023-08,428,563,76.02,76.32,71.63,1.43,324
East,Delhi,TLU03,2023-01,381,542,70.3,5.79,5.43,0.11,268
North,Haryana,TLU03,2023-10,303,697,43.47,4.73,2.49,0.05,93
East,Haryana,TLU03,2023-11,488,713,68.44,27.11,14.45,0.29,478
East,West Bengal,TL009,2023-08,483,529,91.3,89.99,86.47,1.73,449
East,Punjab,TL009,2023-01,39,418,9.33,26.01,13.27,0.27,16
South,Jharkhand,ODGEN,2023-03,2,140,1.43,27.99,26.58,0.53,0
Pune Zone,Odisha,CCGEN,2023-02,184,645,28.53,96.96,81.02,1.62,172
West,West Bengal,LADEP,2023-05,142,319,44.51,76.69,62.79,1.26,78
North,Punjab,TLU03,2023-03,322,420,76.67,38.71,29.04,0.58,222
South,Delhi,LADEP,2023-03,73,346,21.1,4.91,3.73,0.07,38
Central,Punjab,TLP12,2023-12,252,291,86.6,66.38,52.91,1.06,121
East,Jharkhand,CCGEN,2023-06,367,721,50.9,77.46,62.86,1.26,320
Hyderabad,Rajasthan,CHOME,2023-02,126,153,82.35,42.16,27.97,0.56,17
Hyderabad,Punjab,TLU03,2023-08,104,438,23.74,3.15,2.74,0.05,73
West,Punjab,UMGLP,2023-01,2,283,0.71,41.38,34.26,0.69,2
MMZO Zone,Unknown,CHOME,2023-04,0,35,0.0,5.77,5.36,0.11,0
West,Bihar,TL009,2023-09,28,415,6.75,88.05,74.14,1.48,3
West,Haryana,TLP12,2023-12,25,95,26.32,98.29,93.15,1.86,24
Hyderabad,Punjab,CCSUV,2023-01,491,949,51.74,71.51,37.4,0.75,423
South,Haryana,TLP12,2023-12,426,839,50.77,97.35,70.78,1.42,288
Central,Unknown,UKKGL,2023-07,203,382,53.14,75.19,73.95,1.48,61
Pune Zone,Jharkhand,VL001,2023-12,52,264,19.7,65.95,48.56,0.97,16
Pune Zone,Bihar,LADEP,2023-06,369,395,93.42,77.68,45.8,0.92,347
Pune Zone,West Bengal,ODGEN,2023-04,462,525,88.0,84.36,51.69,1.03,175
Hyderabad,Rajasthan,TLU03,2023-09,82,290,28.28,99.05,90.63,1.81,26
North,Rajasthan,CCMUD,2023-08,164,591,27.75,12.2,11.92,0.24,98
East,Haryana,CCSUV,2023-12,339,731,46.37,96.13,68.05,1.36,302
South,Unknown,LADEP,2023-11,46,132,34.85,90.91,84.97,1.7,37
Central,Rajasthan,TL009,2023-11,398,710,56.06,71.4,37.4,0.75,308
Pune Zone,Haryana,TLU03,2023-01,178,542,32.84,63.97,45.35,0.91,30
MMZO Zone,Jharkhand,CCGEN,2023-06,299,568,52.64,45.68,24.69,0.49,79
East,Jharkhand,TLU03,2023-04,157,242,64.88,13.41,10.36,0.21,40
South,Jharkhand,CCSUV,2023-10,284,316,89.87,42.43,25.62,0.51,93
North,Rajasthan,CHOME,2023-02,460,504,91.27,34.33,27.96,0.56,52
North,Delhi,TLU03,2023-04,372,611,60.88,39.82,32.54,0.65,58
MMZO Zone,Punjab,CCSUV,2023-06,462,757,61.03,66.94,57.7,1.15,276
Pune Zone,Bihar,CCGEN,2023-12,250,712,35.11,79.21,74.05,1.48,2
Pune Zone,Rajasthan,ODGEN,2023-11,429,546,78.57,26.83,17.4,0.35,271
MMZO Zone,Delhi,CCSUV,2023-10,499,922,54.12,28.85,22.21,0.44,125
Central,Jharkhand,VL001,2023-08,312,425,73.41,68.56,44.96,0.9,10
West,Punjab,VL001,2023-08,264,632,41.77,79.61,50.43,1.01,29
Pune Zone,Punjab,TLU03,2023-05,93,308,30.19,38.54,22.59,0.45,23
MMZO Zone,Bihar,CCGEN,2023-07,54,479,11.27,58.08,41.03,0.82,30
Central,Unknown,CCMUD,2023-03,364,530,68.68,21.68,13.11,0.26,135
West,Unknown,ODGEN,2023-11,474,767,61.8,89.46,56.46,1.13,153
MMZO Zone,Unknown,LADEP,2023-06,410,503,81.51,1.73,1.23,0.02,292
Hyderabad,Delhi,LADEP,2023-06,77,525,14.67,74.55,64.68,1.29,1
East,Bihar,UMGLP,2023-07,375,479,78.29,36.65,27.29,0.55,65
Central,Bihar,VL001,2023-03,424,678,62.54,88.16,66.92,1.34,20
North,Jharkhand,CCSUV,2023-05,429,840,51.07,1.26,1.21,0.02,315
Central,Delhi,CHOME,2023-06,60,230,26.09,83.65,82.01,1.64,37
Central,Unknown,UKKGL,2023-08,433,510,84.9,70.35,57.94,1.16,24
Hyderabad,Rajasthan,TLP12,2023-03,440,725,60.69,72.38,67.21,1.34,235
East,Delhi,TLP12,2023-09,278,477,58.28,99.7,74.87,1.5,14
Hyderabad,Bihar,TL009,2023-08,96,426,22.54,68.87,67.92,1.36,13
North,Unknown,TLP12,2023-08,450,686,65.6,4.25,2.61,0.05,220
West,Rajasthan,UKKGL,2023-05,317,432,73.38,65.41,55.43,1.11,81
Pune Zone,Unknown,TLU03,2023-10,81,230,35.22,84.23,67.46,1.35,25
MMZO Zone,Jharkhand,TL009,2023-11,315,662,47.58,29.45,15.25,0.3,215
Hyderabad,Rajasthan,TL009,2023-07,269,503,53.48,54.09,44.44,0.89,214
North,Delhi,UMGLP,2023-12,278,421,66.03,12.27,10.27,0.21,55
Hyderabad,Odisha,ODGEN,2023-08,302,311,97.11,76.39,75.99,1.52,155
Central,Bihar,LADEP,2023-03,390,664,58.73,99.05,91.56,1.83,9
Central,Jharkhand,CCGEN,2023-04,424,805,52.67,89.11,56.33,1.13,164
South,Jharkhand,TLU03,2023-01,395,857,46.09,58.06,56.07,1.12,164
East,West Bengal,CCSUV,2023-07,170,633,26.86,50.39,25.68,0.51,36
Hyderabad,Unknown,CCGEN,2023-09,453,651,69.59,71.81,64.85,1.3,320
North,Delhi,UKKGL,2023-04,51,494,10.32,8.83,7.72,0.15,38
Pune Zone,Punjab,VL001,2023-05,68,242,28.1,15.52,15.35,0.31,15
Hyderabad,Odisha,CCSUV,2023-06,99,444,22.3,57.44,45.4,0.91,36
Pune Zone,Jharkhand,TLU03,2023-08,51,215,23.72,16.38,15.36,0.31,1
West,West Bengal,LADEP,2023-03,396,448,88.39,12.2,8.31,0.17,381
West,Rajasthan,TL009,2023-10,193,500,38.6,51.42,28.97,0.58,55
North,Jharkhand,TLP12,2023-08,246,365,67.4,17.4,11.05,0.22,148
Central,West Bengal,CHOME,2023-11,401,633,63.35,20.4,11.83,0.24,75
West,Unknown,TLP12,2023-10,244,722,33.8,12.31,9.05,0.18,6
Central,Rajasthan,CCGEN,2023-09,238,646,36.84,5.89,5.12,0.1,107
Hyderabad,Delhi,TLP12,2023-09,371,516,71.9,72.08,37.64,0.75,352
South,Rajasthan,ODGEN,2023-02,479,717,66.81,44.31,42.99,0.86,477
West,Odisha,CCGEN,2023-09,141,533,26.45,19.57,13.04,0.26,89
Hyderabad,Delhi,CCMUD,2023-09,228,450,50.67,55.95,32.78,0.66,10
Central,Haryana,TLU03,2023-08,127,325,39.08,30.32,21.02,0.42,90
Hyderabad,Odisha,TLP12,2023-04,98,292,33.56,99.04,83.36,1.67,56
Hyderabad,West Bengal,CCGEN,2023-08,198,207,95.65,34.33,30.32,0.61,79
Pune Zone,Punjab,UMGLP,2023-01,388,643,60.34,47.15,27.58,0.55,27
West,Jharkhand,UKKGL,2023-07,173,592,29.22,15.81,11.12,0.22,35
South,Bihar,CCSUV,2023-02,120,173,69.36,1.64,0.91,0.02,21
Central,Delhi,UMGLP,2023-03,198,602,32.89,43.06,24.65,0.49,58
Central,Rajasthan,TLP12,2023-12,338,372,90.86,62.68,58.95,1.18,179
