loan_id,loan_amount,funded_amount,interest_rate,annual_income,loan_status,grade,purpose,term,emp_length,dti,issue_date
LN0097,49984,16623,17.45,28724,Fully Paid,G,Education,36,3-5 years,4.8,2015-03-05
LN0098,41774,3378,15.97,156156,Fully Paid,B,Home Improvement,36,3-5 years,21.52,2015-03-05
LN0099,3568,22372,10.46,185882,Charged Off,D,Medical,60,3-5 years,33.41,2015-03-06
LN0100,3027,45799,8.26,102297,Fully Paid,G,Debt Consolidation,60,1-3 years,23.64,2015-03-07
LN0101,3695,39437,5.31,145099,Fully Paid,A,Debt Consolidation,36,10+ years,17.58,2015-03-07
LN0102,49190,36503,8.85,98872,Charged Off,D,Medical,36,3-5 years,11.38,2015-03-08
LN0103,6258,31746,22.63,171944,Current,D,Debt Consolidation,36,10+ years,13.22,2015-03-09
LN0104,23002,28923,11.09,90333,Fully Paid,B,Medical,36,5-10 years,9.69,2015-03-09
LN0105,40504,10867,16.72,22596,Charged Off,B,Home Improvement,60,< 1 year,7.83,2015-03-10
LN0106,34159,42258,19.78,37167,Fully Paid,E,Home Improvement,36,1-3 years,23.55,2015-03-11
LN0107,14986,34724,27.17,107844,Current,G,Education,60,10+ years,20.38,2015-03-11
LN0108,13666,10306,27.22,109751,Fully Paid,G,Debt Consolidation,60,< 1 year,29.39,2015-03-12
LN0109,39660,40391,23.64,149817,Fully Paid,D,Medical,60,1-3 years,12.32,2015-03-12
LN0110,4561,15908,5.88,100520,Charged Off,D,Home Improvement,60,< 1 year,18.43,2015-03-13
LN0111,27854,28081,19.38,78326,Fully Paid,C,Education,60,3-5 years,27.21,2015-03-14
LN0112,39952,38228,24.66,97670,Fully Paid,C,Debt Consolidation,36,3-5 years,38.53,2015-03-14
LN0113,23662,24386,5.43,161854,Fully Paid,G,Debt Consolidation,60,< 1 year,13.95,2015-03-15
LN0114,9392,47754,18.74,193074,Charged Off,F,Debt Consolidation,36,1-3 years,11.93,2015-03-16
LN0115,31535,46406,26.44,44022,Fully Paid,F,Home Improvement,36,< 1 year,17.97,2015-03-16
LN0116,14067,29302,16.85,104458,Charged Off,A,Home Improvement,60,5-10 years,28.95,2015-03-17
LN0117,49033,20212,5.1,165690,Fully Paid,G,Debt Consolidation,36,1-3 years,38.46,2015-03-18
LN0118,24599,36618,5.28,168317,Fully Paid,G,Home Improvement,36,1-3 years,21.46,2015-03-18
LN0119,36222,47067,15.42,103796,Fully Paid,G,Debt Consolidation,36,< 1 year,32.5,2015-03-19
LN0120,12837,11698,8.88,161099,Fully Paid,A,Vacation,36,10+ years,18.58,2015-03-20
LN0121,15039,5594,21.61,165058,Charged Off,C,Home Improvement,60,< 1 year,1.59,2015-03-20
LN0122,31818,26525,22.72,130704,Charged Off,F,Medical,36,10+ years,35.77,2015-03-21
LN0123,20115,15282,9.45,154598,Fully Paid,G,Home Improvement,36,1-3 years,11.6,2015-03-22
LN0124,11965,15334,27.21,64361,Fully Paid,A,Debt Consolidation,60,3-5 years,5.55,2015-03-22
LN0125,25538,30179,16.05,58286,Charged Off,D,Medical,60,3-5 years,39.85,2015-03-23
LN0126,43530,7644,8.57,49533,Charged Off,F,Education,60,< 1 year,13.9,2015-03-24
LN0127,6056,36618,24.11,169388,Charged Off,B,Medical,60,10+ years,5.46,2015-03-24
LN0128,33482,48701,24.75,159771,Charged Off,F,Medical,60,< 1 year,12.46,2015-03-25
LN0129,48716,33933,20.98,147441,Fully Paid,D,Home Improvement,36,5-10 years,20.55,2015-03-26
LN0130,9110,44469,26.34,117079,Charged Off,C,Medical,60,< 1 year,3.52,2015-03-26
LN0131,14773,34687,23.43,120960,Fully Paid,E,Medical,36,< 1 year,14.1,2015-03-27
LN0132,28266,42073,27.06,78465,Fully Paid,E,Debt Consolidation,60,< 1 year,26.75,2015-03-28
LN0133,18412,18375,15.85,167745,Charged Off,C,Home Improvement,36,< 1 year,36.64,2015-03-28
LN0134,34270,49483,23.69,43395,Current,D,Debt Consolidation,36,10+ years,15.9,2015-03-29
LN0135,7910,31926,29.99,124162,Charged Off,A,Home Improvement,60,10+ years,22.58,2015-03-30
LN0136,46453,37607,23.12,150704,Fully Paid,F,Education,36,10+ years,25.44,2015-03-30
LN0137,26446,18642,7.85,174779,Fully Paid,F,Medical,60,5-10 years,2.83,2015-03-31
LN0138,1206,24993,17.96,95937,Fully Paid,A,Home Improvement,36,5-10 years,13.69,2015-04-01
LN0139,22518,45386,19.68,149647,Charged Off,E,Medical,60,< 1 year,27.37,2015-04-01
LN0140,23361,47287,9.36,140650,Fully Paid,G,Medical,36,10+ years,29.43,2015-04-02
LN0141,24419,22188,29.07,150744,Charged Off,G,Vacation,36,5-10 years,14.24,2015-04-03
LN0142,49702,33596,9.39,111512,Fully Paid,C,Debt Consolidation,60,3-5 years,0.27,2015-04-03
LN0143,42523,28772,9.44,159830,Charged Off,G,Home Improvement,60,< 1 year,0.27,2015-04-04
LN0144,46151,31857,27.88,87009,Current,C,Education,60,1-3 years,21.52,2015-04-04
LN0145,23403,11776,16.63,164353,Fully Paid,G,Vacation,60,10+ years,22.06,2015-04-05
LN0146,19141,33835,6.58,52548,Fully Paid,B,Debt Consolidation,60,< 1 year,22.23,2015-04-06
LN0147,15820,10788,19.95,38371,Charged Off,E,Education,60,< 1 year,28.87,2015-04-06
LN0148,41342,6660,20.05,125977,Fully Paid,C,Education,60,1-3 years,36.85,2015-04-07
LN0149,7374,5478,6.61,170716,Charged Off,B,Medical,60,3-5 years,39.61,2015-04-08
LN0150,2678,9210,29.31,174946,Charged Off,A,Debt Consolidation,60,5-10 years,28.04,2015-04-08
LN0151,34827,11922,18.6,34281,Fully Paid,E,Vacation,60,5-10 years,20.56,2015-04-09
LN0152,17198,37289,18.99,173361,Charged Off,E,Home Improvement,36,1-3 years,5.64,2015-04-10
LN0153,10914,34340,18.0,156126,Fully Paid,C,Home Improvement,36,1-3 years,15.37,2015-04-10
LN0154,28890,40850,20.27,120020,Current,C,Vacation,60,5-10 years,22.9,2015-04-11
LN0155,23299,39163,11.61,127508,Fully Paid,D,Medical,60,3-5 years,39.99,2015-04-12
LN0156,44585,49175,12.18,86846,Charged Off,G,Medical,36,3-5 years,5.08,2015-04-12
LN0157,44689,19642,17.78,114682,Fully Paid,A,Education,60,< 1 year,31.72,2015-04-13
LN0158,43557,12094,25.17,49312,Fully Paid,A,Debt Consolidation,36,1-3 years,39.96,2015-04-14
LN0159,45020,23423,6.25,134186,Fully Paid,F,Education,36,1-3 years,32.21,2015-04-14
LN0160,3693,34418,20.09,24257,Charged Off,B,Home Improvement,36,1-3 years,30.69,2015-04-15
LN0161,30467,6741,25.17,166918,Fully Paid,B,Vacation,36,5-10 years,10.35,2015-04-16
LN0162,30723,47049,8.92,173555,Charged Off,D,Debt Consolidation,36,5-10 years,0.13,2015-04-16
LN0163,47699,7838,5.38,46558,Fully Paid,F,Vacation,60,5-10 years,9.04,2015-04-17
LN0164,4627,4262,12.82,63188,Charged Off,A,Debt Consolidation,36,3-5 years,31.59,2015-04-18
LN0165,26939,5996,19.7,164084,Charged Off,G,Home Improvement,60,5-10 years,4.29,2015-04-18
LN0166,49925,45594,8.46,53236,Fully Paid,G,Home Improvement,36,< 1 year,11.84,2015-04-19
LN0167,43941,23164,15.65,65076,Fully Paid,G,Debt Consolidation,36,5-10 years,22.5,2015-04-20
LN0168,22834,36595,18.81,68402,Fully Paid,G,Medical,36,3-5 years,23.19,2015-04-20
LN0169,19047,31257,19.97,114467,Fully Paid,B,Debt Consolidation,60,1-3 years,21.72,2015-04-21
LN0170,27105,15211,11.86,183148,Fully Paid,A,Home Improvement,36,< 1 year,39.24,2015-04-22
LN0171,11230,31453,15.0,100337,Charged Off,G,Vacation,36,3-5 years,0.49,2015-04-22
LN0172,16707,6232,24.46,135827,Fully Paid,A,Education,60,10+ years,19.5,2015-04-23
LN0173,22976,3217,28.53,94264,Charged Off,F,Vacation,60,1-3 years,20.18,2015-04-24
LN0174,45262,25229,26.55,37335,Current,B,Home Improvement,36,5-10 years,11.73,2015-04-24
LN0175,24776,15232,19.11,63773,Fully Paid,C,Vacation,36,3-5 years,21.0,2015-04-25
LN0176,31080,26613,15.26,48570,Charged Off,C,Medical,36,10+ years,26.93,2015-04-26
LN0177,2306,15026,13.32,107995,Fully Paid,F,Medical,60,3-5 years,26.91,2015-04-26
LN0178,7776,29554,8.12,60658,Charged Off,B,Debt Consolidation,36,5-10 years,3.51,2015-04-27
LN0179,28251,31908,7.66,140640,Fully Paid,D,Vacation,60,3-5 years,32.1,2015-04-28
LN0180,10474,20610,22.21,92613,Charged Off,E,Vacation,36,10+ years,37.23,2015-04-28
LN0181,41294,47646,11.49,78194,Current,F,Home Improvement,60,3-5 years,4.94,2015-04-29
LN0182,22959,40605,11.37,131872,Fully Paid,A,Debt Consolidation,60,< 1 year,16.67,2015-04-29
LN0183,6530,8031,29.95,185031,Charged Off,F,Debt Consolidation,36,< 1 year,20.47,2015-04-30
LN0184,30320,48574,9.7,196660,Fully Paid,E,Vacation,36,5-10 years,5.39,2015-05-01
LN0185,4748,26515,8.7,191605,Fully Paid,F,Education,60,10+ years,20.14,2015-05-01
LN0186,32968,37484,7.47,128558,Charged Off,B,Vacation,36,10+ years,8.27,2015-05-02
LN0187,33562,37182,19.5,88582,Fully Paid,A,Vacation,60,10+ years,37.41,2015-05-03
LN0188,14545,1570,20.7,195590,Charged Off,E,Vacation,60,10+ years,17.94,2015-05-03
LN0189,1663,33254,14.13,163775,Fully Paid,G,Medical,36,10+ years,39.8,2015-05-04
LN0190,35766,20288,18.39,69456,Charged Off,C,Debt Consolidation,60,1-3 years,1.86,2015-05-05
LN0191,8994,14288,24.71,75491,Fully Paid,D,Medical,36,3-5 years,5.1,2015-05-05
LN0192,29021,30877,25.45,28043,Fully Paid,F,Education,60,10+ years,17.73,2015-05-06
LN0193,31303,19889,28.95,123212,Fully Paid,F,Home Improvement,36,< 1 year,34.97,2015-05-07
LN0194,4304,1917,25.61,88340,Fully Paid,E,Education,36,3-5 years,22.21,2015-05-07
LN0195,47576,11066,19.12,161248,Fully Paid,D,Debt Consolidation,36,5-10 years,29.29,2015-05-08
LN0196,40353,30504,9.49,155008,Fully Paid,F,Home Improvement,60,5-10 years,16.94,2015-05-09
LN0197,18675,7982,7.49,51174,Fully Paid,C,Education,36,10+ years,1.62,2015-05-09
LN0198,45417,40104,6.36,102632,Fully Paid,E,Debt Consolidation,60,1-3 years,25.91,2015-05-10
LN0199,24938,19062,21.66,108768,Fully Paid,B,Education,60,1-3 years,25.36,2015-05-11
LN0200,24664,17999,25.19,145775,Fully Paid,A,Home Improvement,36,3-5 years,2.86,2015-05-11
LN0201,2636,10941,17.72,128177,Fully Paid,C,Home Improvement,60,1-3 years,6.84,2015-05-12
LN0202,21080,24470,6.37,45909,Current,D,Education,36,5-10 years,19.05,2015-05-13
LN0203,28728,46148,18.39,64158,Fully Paid,D,Medical,60,10+ years,17.87,2015-05-13
LN0204,27736,22133,28.39,159438,Fully Paid,C,Education,60,< 1 year,30.1,2015-05-14
LN0205,29673,45435,19.94,144296,Fully Paid,G,Education,36,5-10 years,15.5,2015-05-15
LN0206,38505,5529,25.24,79331,Charged Off,B,Education,36,5-10 years,26.53,2015-05-15
LN0207,48323,18519,25.0,179914,Fully Paid,F,Medical,60,3-5 years,28.18,2015-05-16
LN0208,47645,13192,28.3,168530,Charged Off,B,Vacation,36,1-3 years,25.8,2015-05-17
LN0209,1854,9566,24.26,107367,Fully Paid,F,Home Improvement,36,< 1 year,23.85,2015-05-17
LN0210,25548,8226,23.69,85382,Fully Paid,F,Debt Consolidation,60,< 1 year,32.23,2015-05-18
LN0211,39623,38930,10.85,94319,Charged Off,D,Home Improvement,36,1-3 years,26.28,2015-05-19
LN0212,8392,22259,6.5,31170,Fully Paid,F,Home Improvement,60,10+ years,33.37,2015-05-19
LN0213,47717,35087,17.94,139952,Fully Paid,C,Vacation,36,1-3 years,25.47,2015-05-20
LN0214,22556,2141,8.11,100145,Charged Off,G,Home Improvement,36,10+ years,6.36,2015-05-21
LN0215,39559,5627,29.05,125626,Charged Off,F,Home Improvement,60,< 1 year,12.38,2015-05-21
LN0216,27309,48269,12.25,196014,Charged Off,C,Medical,60,3-5 years,13.21,2015-05-22
LN0217,22919,3690,26.32,36208,Charged Off,A,Medical,36,5-10 years,3.76,2015-05-22
LN0218,5931,41091,14.69,186250,Charged Off,D,Medical,36,< 1 year,27.69,2015-05-23
LN0219,33970,4255,13.08,160111,Charged Off,B,Medical,60,< 1 year,23.8,2015-05-24
LN0220,45215,6213,28.38,34990,Fully Paid,E,Medical,36,< 1 year,23.59,2015-05-24
LN0221,13688,37876,14.08,157513,Charged Off,B,Debt Consolidation,36,5-10 years,19.14,2015-05-25
LN0222,26342,20404,14.76,149327,Charged Off,B,Vacation,36,10+ years,21.72,2015-05-26
LN0223,38157,26380,7.65,99314,Fully Paid,G,Education,36,3-5 years,0.32,2015-05-26
LN0224,3327,26520,21.76,197031,Fully Paid,E,Medical,60,3-5 years,3.85,2015-05-27
LN0225,41772,20173,12.22,46862,Fully Paid,G,Vacation,36,3-5 years,27.33,2015-05-28
LN0226,41545,24989,19.64,178345,Charged Off,D,Education,60,10+ years,10.46,2015-05-28
LN0227,1197,43570,19.78,113949,Fully Paid,F,Home Improvement,60,1-3 years,4.32,2015-05-29
LN0228,24509,25519,22.98,193572,Current,A,Home Improvement,36,1-3 years,13.15,2015-05-30
LN0229,35698,23439,23.63,150223,Fully Paid,B,Vacation,60,3-5 years,10.18,2015-05-30
LN0230,45542,12413,17.86,23956,Charged Off,G,Debt Consolidation,36,< 1 year,1.17,2015-05-31
LN0231,16087,15995,13.27,108789,Fully Paid,F,Debt Consolidation,36,< 1 year,16.42,2015-06-01
LN0232,23671,24559,25.94,109451,Charged Off,B,Vacation,60,5-10 years,1.08,2015-06-01
LN0233,26184,46351,12.75,137782,Charged Off,D,Debt Consolidation,60,1-3 years,0.02,2015-06-02
LN0234,28848,24513,17.69,22365,Charged Off,D,Debt Consolidation,60,< 1 year,31.7,2015-06-03
LN0235,43107,6021,15.03,92204,Charged Off,C,Home Improvement,36,3-5 years,12.6,2015-06-03
LN0236,21666,33464,26.38,156072,Charged Off,D,Debt Consolidation,36,5-10 years,22.7,2015-06-04
LN0237,45357,22119,15.8,77072,Fully Paid,D,Debt Consolidation,36,1-3 years,11.91,2015-06-05
LN0238,16708,30299,14.65,72499,Fully Paid,B,Vacation,60,5-10 years,37.2,2015-06-05
LN0239,27370,40350,22.25,89211,Charged Off,A,Debt Consolidation,60,< 1 year,29.17,2015-06-06
LN0240,3811,47223,20.06,163979,Fully Paid,G,Medical,60,3-5 years,14.77,2015-06-07
LN0241,48011,26517,7.68,168408,Fully Paid,B,Medical,60,3-5 years,8.43,2015-06-07
LN0242,7546,14117,17.7,105220,Fully Paid,G,Vacation,60,3-5 years,5.51,2015-06-08
LN0243,35754,23250,23.39,113847,Fully Paid,F,Medical,36,< 1 year,30.5,2015-06-09
LN0244,31206,19950,29.8,129459,Fully Paid,G,Home Improvement,36,10+ years,18.12,2015-06-09
LN0245,42106,18359,20.73,97755,Charged Off,D,Vacation,60,3-5 years,9.28,2015-06-10
LN0246,12411,24596,14.26,88783,Fully Paid,C,Debt Consolidation,60,10+ years,36.79,2015-06-11
LN0247,3911,26530,10.65,147851,Fully Paid,A,Medical,60,3-5 years,15.6,2015-06-11
LN0248,2734,2262,26.82,26472,Fully Paid,C,Home Improvement,60,10+ years,21.74,2015-06-12
LN0249,19227,41150,25.36,173452,Charged Off,E,Vacation,36,1-3 years,34.31,2015-06-13
LN0250,9680,23615,10.85,123152,Current,C,Vacation,60,1-3 years,33.34,2015-06-13
LN0251,20360,4327,10.02,178352,Charged Off,C,Debt Consolidation,60,3-5 years,25.52,2015-06-14
LN0252,19343,30768,22.88,172931,Fully Paid,F,Education,60,5-10 years,35.54,2015-06-14
LN0253,6759,29850,12.87,199474,Current,D,Medical,36,5-10 years,38.08,2015-06-15
LN0254,24078,43788,12.66,159334,Charged Off,F,Home Improvement,36,< 1 year,37.4,2015-06-16
LN0255,36153,17848,8.81,162138,Charged Off,D,Vacation,60,1-3 years,13.96,2015-06-16
LN0256,12111,47830,11.6,166626,Charged Off,F,Medical,36,1-3 years,15.89,2015-06-17
LN0257,38504,40542,15.69,27008,Fully Paid,D,Home Improvement,60,5-10 years,9.62,2015-06-18
LN0258,2802,16160,23.32,107851,Fully Paid,G,Home Improvement,60,3-5 years,33.47,2015-06-18
LN0259,9155,34998,13.41,100799,Fully Paid,D,Vacation,60,< 1 year,4.87,2015-06-19
LN0260,9120,28230,13.22,36238,Fully Paid,D,Medical,36,1-3 years,14.2,2015-06-20
LN0261,40384,10076,12.12,37153,Charged Off,C,Home Improvement,60,< 1 year,0.39,2015-06-20
LN0262,48025,4805,16.96,79353,Charged Off,E,Vacation,60,1-3 years,23.79,2015-06-21
LN0263,48254,32085,9.52,72092,Charged Off,D,Medical,36,10+ years,26.34,2015-06-22
LN0264,22918,15715,17.14,194224,Fully Paid,E,Medical,36,10+ years,9.96,2015-06-22
LN0265,21445,6750,22.6,69104,Fully Paid,E,Vacation,60,< 1 year,29.47,2015-06-23
LN0266,31306,49395,5.74,175355,Fully Paid,B,Medical,60,5-10 years,15.26,2015-06-24
LN0267,17646,14232,5.24,197501,Fully Paid,B,Education,36,5-10 years,12.47,2015-06-24
LN0268,47843,36903,6.88,48887,Fully Paid,A,Home Improvement,36,1-3 years,38.25,2015-06-25
LN0269,32065,7953,18.39,197244,Charged Off,G,Home Improvement,36,10+ years,23.55,2015-06-26
LN0270,26199,33093,26.36,24355,Fully Paid,F,Medical,60,10+ years,10.09,2015-06-26
LN0271,42976,26500,5.12,53701,Current,B,Vacation,60,< 1 year,39.33,2015-06-27
LN0272,17371,23418,28.42,192606,Fully Paid,D,Debt Consolidation,36,< 1 year,15.5,2015-06-28
LN0273,12835,35314,7.66,91442,Charged Off,E,Medical,36,5-10 years,25.91,2015-06-28
LN0274,46936,49225,26.05,32279,Fully Paid,F,Debt Consolidation,60,5-10 years,28.95,2015-06-29
