LoanID,UserID,LoanScheme,LoanAmount,InterestRate,TenureYears
169,82,Education Loan,561418,12.5,19
170,82,Business Loan,1451292,8.79,1
171,83,Home Loan,1072466,7.12,26
172,83,Car Loan,763742,7.8,20
173,84,Business Loan,71288,10.17,7
174,84,Personal Loan,556160,12.2,16
175,85,Education Loan,1404556,12.12,15
176,86,Car Loan,514721,9.04,8
177,87,Business Loan,823891,9.73,17
178,87,Car Loan,942346,14.97,18
179,87,Car Loan,787800,12.03,9
180,88,Home Loan,303033,12.21,11
181,88,Personal Loan,1607934,10.36,25
182,89,Home Loan,503791,12.39,9
183,90,Business Loan,1301560,7.83,4
184,90,Home Loan,671273,7.27,6
185,90,Car Loan,79671,12.08,5
186,91,Personal Loan,1210477,7.92,5
187,92,Personal Loan,1880225,5.12,10
188,92,Education Loan,1053936,9.4,6
189,93,Education Loan,289258,13.22,13
190,93,Education Loan,205361,10.77,22
191,94,Home Loan,1751088,10.63,10
192,95,Personal Loan,1220363,12.64,20
193,96,Home Loan,1676747,10.23,15
194,96,Education Loan,673594,13.6,14
195,96,Car Loan,1242502,11.21,20
196,97,Home Loan,1361800,7.11,22
197,98,Home Loan,414513,10.52,6
198,99,Education Loan,1495716,10.94,10
199,99,Personal Loan,535440,7.88,10
200,100,Personal Loan,1491550,7.33,9
201,100,Business Loan,1436601,13.04,7
202,101,Business Loan,521459,11.48,30
203,102,Personal Loan,175070,6.66,10
204,103,Business Loan,1981880,7.89,4
205,103,Education Loan,1494262,8.04,13
206,103,Car Loan,1099566,10.4,15
207,104,Personal Loan,1915254,9.32,11
208,104,Business Loan,575059,5.26,8
209,104,Business Loan,1281286,14.51,25
210,105,Business Loan,134371,12.63,6
211,105,Education Loan,1138346,11.52,30
212,106,Business Loan,964117,11.35,16
213,107,Car Loan,906368,8.33,22
214,107,Personal Loan,1848796,6.61,14
215,108,Car Loan,1439538,14.45,27
216,108,Business Loan,126959,9.55,11
217,109,Personal Loan,1670150,9.04,17
218,109,Personal Loan,1429213,13.69,15
219,110,Home Loan,1137246,8.62,25
220,111,Education Loan,1643815,5.52,9
221,111,Business Loan,324754,14.28,15
222,111,Education Loan,304648,5.29,21
223,112,Home Loan,701690,10.51,18
224,113,Home Loan,1814555,14.13,15
225,114,Home Loan,1095169,14.33,10
226,114,Business Loan,1529355,7.73,27
227,114,Education Loan,1040316,7.44,18
228,115,Home Loan,1983297,10.99,24
229,115,Home Loan,1861995,5.7,25
230,116,Business Loan,610301,13.21,10
231,116,Car Loan,1806314,10.87,22
232,117,Education Loan,1179485,9.84,11
233,118,Education Loan,1004926,14.33,28
234,118,Home Loan,1512760,7.39,13
235,118,Home Loan,1845189,12.76,2
236,119,Education Loan,1528970,14.13,13
237,119,Education Loan,1441856,12.92,21
238,119,Home Loan,1088779,14.65,5
239,120,Car Loan,1873893,6.0,28
240,120,Education Loan,259110,10.26,15
241,120,Personal Loan,1565074,6.44,28
242,121,Personal Loan,1034593,12.82,9
243,122,Education Loan,1412806,5.8,11
244,122,Business Loan,846937,14.54,21
245,122,Education Loan,1879519,10.41,20
246,123,Car Loan,527073,12.47,14
247,124,Personal Loan,980461,6.66,10
248,124,Personal Loan,146450,8.24,2
249,124,Car Loan,801752,8.75,5
250,125,Education Loan,1236837,11.82,6
251,125,Home Loan,417147,5.79,28
252,125,Education Loan,1349626,11.83,16
253,126,Home Loan,1017101,11.38,15
254,127,Personal Loan,1935147,13.05,29
255,127,Car Loan,1471053,10.47,3
256,127,Education Loan,774703,14.88,10
257,128,Car Loan,1008054,13.45,7
258,128,Education Loan,1839574,9.83,8
259,129,Car Loan,1255467,7.96,23
260,129,Car Loan,96010,14.78,22
261,129,Education Loan,625627,5.08,28
262,130,Personal Loan,1959702,11.06,16
263,130,Car Loan,1676846,12.99,20
264,130,Car Loan,509285,11.37,20
265,131,Home Loan,1367531,5.97,21
266,131,Personal Loan,697879,12.89,2
267,131,Business Loan,815169,12.32,3
268,132,Education Loan,418343,7.01,26
269,132,Business Loan,1888071,14.71,17
270,133,Home Loan,588905,14.14,16
271,133,Car Loan,1615648,13.7,26
272,134,Personal Loan,345188,12.54,8
273,134,Education Loan,1823654,13.05,12
274,135,Personal Loan,604609,10.37,15
275,135,Car Loan,1461023,12.49,9
276,136,Car Loan,277218,11.75,16
277,136,Personal Loan,1349283,13.84,18
278,137,Home Loan,1408225,5.63,27
279,137,Education Loan,1957124,12.01,21
280,137,Education Loan,294687,6.4,2
281,138,Personal Loan,253826,7.35,18
282,138,Home Loan,865049,9.54,22
283,139,Business Loan,928972,10.87,24
284,139,Home Loan,1906847,9.15,4
285,139,Education Loan,1341116,9.08,9
286,140,Car Loan,505647,9.43,8
287,140,Car Loan,258361,14.81,12
288,140,Business Loan,1940994,14.78,12
289,141,Car Loan,448057,14.68,28
290,141,Education Loan,242253,11.63,21
291,142,Personal Loan,156070,12.87,8
292,142,Home Loan,1700412,10.65,3
293,142,Business Loan,484440,10.86,27
294,143,Home Loan,1703905,14.01,1
295,143,Car Loan,1850208,14.84,5
296,144,Home Loan,280532,11.61,1
297,144,Home Loan,81164,8.58,26
298,145,Car Loan,83095,6.74,2
299,145,Home Loan,1605495,9.21,4
300,145,Personal Loan,1048760,9.48,12
301,146,Personal Loan,997924,10.04,20
302,146,Personal Loan,1575139,12.83,28
303,146,Business Loan,682564,9.58,1
304,147,Education Loan,943960,11.86,16
305,147,Education Loan,204121,13.99,11
306,148,Personal Loan,314642,7.75,21
307,149,Car Loan,848814,14.95,17
308,149,Car Loan,1001510,10.06,14
309,149,Personal Loan,1713243,12.02,28
310,150,Business Loan,1561710,13.65,14
311,150,Education Loan,1912461,7.28,11
312,150,Education Loan,886197,9.16,4
313,151,Car Loan,1444832,7.55,5
314,151,Education Loan,190788,5.91,3
315,152,Personal Loan,1611516,12.39,26
316,152,Home Loan,1216794,5.6,18
317,153,Personal Loan,911528,8.54,22
318,153,Education Loan,1870521,14.16,2
319,154,Car Loan,787455,6.04,17
320,154,Home Loan,374492,11.57,8
321,154,Personal Loan,784242,13.45,12
322,155,Business Loan,524289,13.07,28
323,155,Business Loan,1659422,13.18,20
324,156,Business Loan,105058,11.09,22
325,156,Car Loan,110719,6.8,23
326,156,Car Loan,1982604,8.4,1
327,157,Business Loan,1428551,9.01,5
328,158,Personal Loan,242429,12.46,7
329,158,Education Loan,930452,9.54,6
330,158,Car Loan,703550,12.22,25
331,159,Personal Loan,1902502,5.53,6
332,159,Business Loan,154359,11.74,9
333,159,Education Loan,1438186,9.24,20
334,160,Car Loan,502080,12.55,4
335,160,Car Loan,951594,6.11,22
336,161,Education Loan,1155060,11.67,2
337,161,Home Loan,878927,14.84,2
338,161,Personal Loan,478706,8.01,7
339,162,Car Loan,738122,6.2,16
340,162,Education Loan,418458,6.29,18
341,163,Business Loan,1221728,13.33,26
342,164,Education Loan,1857250,12.42,14
343,165,Personal Loan,1857975,8.13,14
344,165,Business Loan,898136,12.09,14
345,166,Education Loan,93739,14.66,6
346,167,Car Loan,234821,9.37,4
347,167,Home Loan,963679,10.89,17
348,168,Car Loan,1614066,8.4,11
349,168,Home Loan,210179,10.1,4
350,169,Home Loan,1949857,12.76,12
351,169,Home Loan,545491,6.03,9
352,169,Home Loan,413853,11.02,25
353,170,Home Loan,1670779,11.28,15
354,171,Education Loan,1478440,14.24,19
355,171,Business Loan,727816,13.64,21
356,171,Car Loan,366580,9.4,16
357,172,Car Loan,1720024,7.75,2
358,172,Car Loan,1113962,5.74,15
359,172,Education Loan,128868,5.57,27
360,173,Personal Loan,1339766,10.94,13
361,174,Business Loan,1710562,12.39,2
362,174,Education Loan,1956415,13.1,21
363,174,Home Loan,724290,11.05,17
364,175,Education Loan,267059,13.11,27
365,176,Personal Loan,1108115,11.46,2
366,176,Home Loan,1533990,9.38,15
367,176,Business Loan,1146282,11.1,12
368,177,Education Loan,907251,12.74,22
369,177,Business Loan,159818,12.89,21
370,178,Car Loan,248193,10.58,13
371,179,Business Loan,1881400,6.5,3
372,179,Business Loan,1441695,6.41,12
373,180,Education Loan,320431,10.95,3
374,180,Car Loan,1222144,8.77,26
375,180,Car Loan,1755372,6.28,23
376,181,Business Loan,245985,11.46,14
377,181,Business Loan,808808,5.18,10
378,181,Home Loan,499194,8.42,25
379,182,Home Loan,338495,6.55,10
380,183,Business Loan,1801373,12.39,17
381,183,Personal Loan,1438166,8.37,25
382,183,Business Loan,324829,10.97,5
383,184,Business Loan,1746687,14.03,24
384,185,Education Loan,813991,11.76,8
385,186,Car Loan,1627878,12.49,15
386,186,Home Loan,1169902,7.39,26
387,186,Education Loan,1945771,13.35,12
388,187,Education Loan,1018213,12.69,25
389,187,Education Loan,1104671,10.27,6
390,187,Home Loan,1730362,11.05,28
391,188,Education Loan,1883156,8.71,30
392,189,Business Loan,1835024,6.25,3
393,189,Home Loan,622084,9.49,17
394,189,Home Loan,1792831,9.37,30
395,190,Car Loan,105931,9.15,13
396,190,Business Loan,834254,7.36,3
397,191,Personal Loan,718330,14.31,27
398,192,Car Loan,1709645,6.46,2
399,192,Car Loan,1973919,13.3,23
400,192,Home Loan,1641405,12.06,15
401,193,Personal Loan,89854,7.56,27
402,194,Business Loan,1156817,9.23,25
403,194,Car Loan,548367,8.01,2
404,194,Home Loan,930437,11.39,20
405,195,Personal Loan,1804661,14.05,20
406,196,Business Loan,1255961,7.42,5
407,197,Personal Loan,1339349,8.53,19
408,197,Education Loan,442825,11.64,3
409,198,Personal Loan,1153226,10.44,26
410,198,Business Loan,1212140,5.2,28
411,199,Education Loan,832871,7.54,1
412,200,Car Loan,555677,12.33,21
413,201,Car Loan,329780,5.44,18
414,201,Car Loan,1756051,11.43,27
415,201,Education Loan,1508336,9.79,6
416,202,Education Loan,127560,7.93,2
417,203,Car Loan,700276,10.15,27
418,204,Car Loan,126799,12.53,7
419,204,Car Loan,798629,13.62,2
420,205,Car Loan,311043,12.99,14
421,205,Education Loan,1608829,9.4,13
422,206,Education Loan,1501372,9.98,30
423,207,Personal Loan,1574800,9.24,14
424,207,Business Loan,1774574,6.8,10
425,208,Personal Loan,737697,11.61,10
426,209,Education Loan,399479,11.9,12
427,209,Education Loan,138825,12.27,30
428,209,Car Loan,1339437,14.98,9
429,210,Personal Loan,1457574,11.38,12
430,211,Home Loan,115306,6.43,20
431,211,Education Loan,122978,6.26,8
432,211,Car Loan,809484,8.83,19
433,212,Home Loan,1474096,9.5,12
434,212,Car Loan,981008,12.63,19
435,212,Home Loan,1160357,8.67,11
436,213,Home Loan,287918,5.26,6
437,213,Education Loan,1135790,8.87,18
438,214,Car Loan,1526474,9.46,20
439,214,Car Loan,1505382,14.16,16
440,215,Home Loan,1838506,5.74,6
441,216,Personal Loan,1749769,11.82,28
442,216,Car Loan,1450561,8.47,3
443,217,Car Loan,1919258,8.0,6
444,217,Home Loan,1714501,8.61,8
445,217,Personal Loan,471486,12.92,8
446,218,Car Loan,1211867,10.72,15
447,219,Business Loan,1904399,5.86,10
448,220,Education Loan,1152463,9.11,14
449,220,Business Loan,204666,6.25,11
450,220,Personal Loan,993664,9.66,17
451,221,Business Loan,1391745,10.88,25
452,222,Business Loan,1959902,13.68,27
453,222,Personal Loan,1136538,6.53,6
454,223,Home Loan,775662,14.47,17
455,223,Car Loan,1824051,5.79,7
456,224,Car Loan,312501,11.25,20
457,224,Business Loan,245933,10.03,6
458,224,Business Loan,1267703,6.54,22
459,225,Business Loan,758039,13.43,19
460,225,Personal Loan,1780645,13.64,3
461,225,Personal Loan,1395225,12.71,9
462,226,Business Loan,923645,11.18,1
463,227,Business Loan,657485,11.42,10
464,227,Education Loan,563546,13.05,22
465,227,Education Loan,673764,9.54,23
466,228,Education Loan,921621,9.84,7
467,229,Home Loan,705533,13.61,11
468,229,Car Loan,886169,6.31,12
469,229,Business Loan,1227867,6.06,8
470,230,Car Loan,992871,7.48,4
471,231,Education Loan,1862282,11.15,8
472,231,Home Loan,1755986,8.27,19
473,232,Home Loan,1650381,6.59,17
474,232,Education Loan,1095974,13.79,16
475,233,Education Loan,1109993,9.57,8
476,234,Car Loan,152043,5.51,16
477,234,Business Loan,1900399,13.43,22
478,234,Education Loan,649257,10.37,28
479,235,Home Loan,1900643,7.64,12
480,235,Education Loan,817426,5.45,2
481,236,Home Loan,810267,10.53,3
482,236,Education Loan,1107500,9.5,18
483,236,Car Loan,1780803,14.89,22
484,237,Home Loan,252755,8.94,26
485,238,Car Loan,1633276,6.44,20
486,238,Business Loan,891769,10.0,2
487,238,Personal Loan,337386,12.14,26
488,239,Education Loan,362351,11.06,17
489,239,Home Loan,737794,14.31,11
490,239,Home Loan,874085,14.91,24
491,240,Car Loan,1113916,13.28,18
492,240,Education Loan,1536335,10.63,16
493,240,Personal Loan,822502,8.31,4
494,241,Car Loan,1720915,13.99,28
495,241,Personal Loan,1301810,9.75,21
496,241,Business Loan,1261387,7.28,2
497,242,Home Loan,1149394,11.29,20
498,242,Education Loan,359908,13.22,8
499,243,Personal Loan,450103,5.19,11
500,243,Education Loan,367574,9.13,7
501,243,Education Loan,1102391,12.75,30
502,244,Personal Loan,1530117,6.38,7
503,244,Business Loan,731678,14.98,16
504,244,Business Loan,840258,8.14,6
505,245,Car Loan,1195617,8.54,25
506,245,Car Loan,1329423,9.84,8
507,245,Car Loan,1220392,7.98,10
508,246,Home Loan,1497538,12.05,11
509,246,Education Loan,781493,10.6,30
510,246,Car Loan,653538,6.22,22
511,247,Education Loan,1766261,8.45,25
512,247,Home Loan,659123,5.42,23
513,248,Education Loan,1425673,7.56,16
514,248,Home Loan,473767,13.28,9
515,249,Car Loan,337882,6.09,24
516,249,Business Loan,551810,7.42,22
517,249,Business Loan,523267,11.38,2
518,250,Car Loan,1554408,9.72,22
519,250,Home Loan,60866,14.65,30
520,251,Education Loan,1051282,11.51,25
521,251,Car Loan,723537,7.85,2
522,252,Business Loan,537001,10.35,24
523,252,Personal Loan,1965181,14.21,14
524,252,Home Loan,1978613,5.36,27
525,253,Home Loan,1620773,14.62,30
526,253,Car Loan,1888663,5.37,10
527,254,Personal Loan,1997110,14.83,10
528,254,Education Loan,1394929,10.43,16
529,254,Home Loan,1834801,10.04,9
530,255,Car Loan,390775,12.31,21
531,256,Home Loan,79536,12.37,26
532,256,Car Loan,1240723,11.74,7
533,256,Home Loan,1331264,13.56,29
534,257,Business Loan,737712,5.87,22
535,257,Personal Loan,437514,14.82,16
536,258,Personal Loan,596906,8.84,15
537,259,Car Loan,1271508,12.23,1
538,259,Car Loan,1420873,8.6,8
539,260,Personal Loan,1026004,8.07,13
540,260,Business Loan,1985893,13.95,23
541,260,Car Loan,1497643,6.17,30
542,261,Business Loan,513154,7.19,5
543,261,Education Loan,371253,9.55,20
544,262,Business Loan,1964273,9.71,18
545,262,Home Loan,1647735,7.47,25
546,263,Business Loan,986898,10.28,12
547,264,Personal Loan,179516,13.29,29
548,264,Business Loan,473953,10.73,5
549,264,Home Loan,738112,13.54,15
550,265,Home Loan,1553485,10.83,3
551,265,Business Loan,984244,13.09,15
552,265,Home Loan,1126358,9.15,19
553,266,Education Loan,1460896,13.07,24
554,266,Personal Loan,880364,7.54,1
555,266,Home Loan,1262806,5.73,14
556,267,Personal Loan,1184902,14.94,30
557,267,Personal Loan,1040005,5.32,14
558,267,Home Loan,1662651,6.35,21
559,268,Education Loan,835301,14.93,13
560,268,Education Loan,1873725,14.17,13
561,268,Education Loan,218296,11.83,22
562,269,Car Loan,298791,6.78,18
563,270,Home Loan,1576429,14.79,27
564,270,Personal Loan,1635823,5.23,10
565,270,Education Loan,1462431,12.19,14
566,271,Home Loan,569070,9.61,5
567,271,Car Loan,445272,14.37,24
568,272,Education Loan,1339587,12.66,29
569,273,Home Loan,191119,6.01,2
570,274,Personal Loan,563244,12.41,13
571,274,Education Loan,541445,10.4,25
572,274,Personal Loan,343885,10.04,10
573,275,Business Loan,718789,10.77,25
574,275,Car Loan,546823,8.02,5
575,275,Business Loan,513560,9.14,9
576,276,Business Loan,1894893,12.35,6
577,276,Education Loan,1215703,9.96,12
578,276,Education Loan,1697951,10.24,23
579,277,Home Loan,678911,8.76,25
580,277,Business Loan,1043040,7.41,8
581,278,Home Loan,1739835,9.63,2
582,278,Business Loan,915447,14.68,18
583,278,Business Loan,331212,8.88,9
584,279,Personal Loan,1984048,9.5,12
585,279,Personal Loan,1173309,12.25,7
586,280,Education Loan,1462792,11.05,2
587,280,Personal Loan,444607,13.05,19
588,281,Business Loan,505116,9.79,28
589,281,Car Loan,685831,14.57,1
590,281,Home Loan,448508,14.62,4
591,282,Home Loan,1508834,11.04,7
592,282,Education Loan,1969159,7.39,11
593,283,Education Loan,1169145,11.49,10
594,283,Car Loan,804229,10.13,16
595,284,Education Loan,1647251,13.4,30
596,285,Car Loan,918074,5.46,28
597,285,Home Loan,1604518,6.46,9
598,286,Business Loan,1559974,9.18,5
599,286,Home Loan,741777,7.3,19
600,286,Home Loan,1097111,10.51,22
601,287,Education Loan,1567410,11.42,16
602,287,Education Loan,402811,12.33,12
603,288,Business Loan,1074073,6.84,29
604,289,Personal Loan,1148791,5.34,28
605,289,Personal Loan,1765461,11.68,25
606,289,Personal Loan,914849,6.37,21
607,290,Home Loan,69171,7.19,15
608,291,Business Loan,1387413,11.67,20
609,292,Education Loan,82991,5.07,18
610,292,Education Loan,74853,5.17,24
611,292,Car Loan,1173524,14.77,1
612,293,Education Loan,1740656,14.4,6
613,293,Personal Loan,1975287,5.96,5
614,293,Home Loan,452510,11.2,9
615,294,Education Loan,215715,8.73,13
616,294,Education Loan,1234895,7.43,23
617,295,Personal Loan,1420983,14.92,21
618,295,Personal Loan,246084,9.05,13
619,296,Personal Loan,1385357,5.09,6
620,296,Personal Loan,1098279,13.45,21
621,297,Personal Loan,1926513,10.28,2
622,297,Home Loan,493373,14.01,23
623,297,Business Loan,1047196,7.71,30
624,298,Car Loan,1935993,10.43,22
625,298,Personal Loan,426133,14.29,11
626,298,Personal Loan,484442,10.87,25
627,299,Personal Loan,677629,6.62,8
628,299,Business Loan,1800389,13.49,22
629,300,Education Loan,1634627,12.4,26
630,300,Personal Loan,1100238,12.45,12
631,301,Education Loan,536841,13.39,11
632,302,Business Loan,881946,14.69,11
633,302,Personal Loan,1379852,7.73,15
634,302,Education Loan,528440,8.56,13
635,303,Business Loan,1435529,8.8,25
636,304,Home Loan,1545496,5.74,9
637,304,Home Loan,846917,12.12,21
638,305,Education Loan,714122,8.61,3
639,305,Personal Loan,696483,9.45,25
640,305,Car Loan,264394,6.33,6
641,306,Business Loan,1213374,10.12,4
642,306,Personal Loan,237944,8.54,3
643,307,Car Loan,1861348,8.85,10
644,307,Education Loan,863274,12.79,24
645,307,Business Loan,1948357,14.93,8
646,308,Home Loan,1487211,8.81,5
647,308,Car Loan,681518,7.68,5
648,308,Personal Loan,400659,9.35,14
649,309,Personal Loan,807333,7.52,8
650,309,Education Loan,1295302,11.17,15
651,310,Car Loan,64192,14.49,11
652,311,Car Loan,973214,8.35,27
653,311,Business Loan,335473,8.0,20
654,312,Education Loan,708890,6.78,13
655,313,Education Loan,1257706,12.82,11
656,313,Education Loan,637832,13.16,13
657,314,Business Loan,469011,10.92,18
658,315,Business Loan,106447,14.53,15
659,315,Home Loan,969506,12.98,27
660,315,Personal Loan,1767495,13.48,26
661,316,Education Loan,341879,11.33,8
662,316,Car Loan,1431316,6.54,14
663,316,Education Loan,205116,9.49,20
664,317,Education Loan,1170649,10.07,30
665,317,Education Loan,1190106,5.37,12
666,317,Business Loan,1295330,11.38,3
667,318,Car Loan,398837,11.47,2
668,319,Education Loan,1628490,8.32,26
669,319,Education Loan,272181,5.11,9
670,319,Home Loan,1120965,12.47,18
671,320,Business Loan,513537,9.46,13
672,320,Education Loan,1669719,11.8,23
673,320,Business Loan,366135,8.45,1
674,321,Car Loan,922363,14.21,3
675,322,Home Loan,780498,8.12,15
676,322,Home Loan,1142857,9.83,16
677,322,Personal Loan,968900,12.22,15
678,323,Car Loan,143707,13.1,4
679,324,Personal Loan,1470064,13.0,30
680,324,Home Loan,1132117,6.74,6
681,325,Education Loan,1018997,7.32,13
682,325,Home Loan,440881,11.4,14
683,325,Education Loan,111220,12.37,29
684,326,Business Loan,950837,8.89,23
685,326,Home Loan,481561,7.78,23
686,327,Personal Loan,1726677,13.72,6
687,327,Car Loan,733639,6.97,4
688,327,Car Loan,1456562,13.63,17
689,328,Business Loan,865035,11.11,19
690,328,Personal Loan,779650,8.52,15
691,329,Car Loan,1976617,11.14,3
692,330,Car Loan,297173,7.39,4
693,331,Home Loan,1121277,8.88,20
694,331,Home Loan,1255455,8.84,6
695,332,Business Loan,1504234,14.19,30
696,332,Home Loan,1213736,6.67,10
697,332,Home Loan,442374,8.15,15
698,333,Car Loan,70097,9.85,7
699,334,Business Loan,1419586,9.95,22
700,334,Education Loan,921640,12.1,15
701,334,Education Loan,400755,5.83,1
702,335,Personal Loan,626408,7.25,10
703,335,Home Loan,1687330,9.57,24
704,336,Business Loan,287420,10.73,9
705,336,Business Loan,1776549,14.91,18
706,336,Personal Loan,1643844,12.19,18
